id,niveau,matieres_preferees,mathematiques,physique,chimie,informatique,francais,anglais,biologie,economie,gestion,histoire_geographie,droit,technique,competences,centres_interet,activites_projets,preferences_professionnelles,environnement_travail,parcours_recommande
11,Baccalauréat D,Informatique;Physique;Français;Mathématiques,13.96,17.97,11.4,15.37,13.33,14.79,0,0,0,0,0,0,Analyse des systèmes;Conception de logiciels,Technologie,Projet de développement web;Création d'une application Python,Technicien;Ingénieur,Travail en équipe;Bureau,IGGLIA
12,Baccalauréat D,Physique;Informatique;Mathématiques,12.99,13.15,11.73,14.12,15.8,0,15.05,0,0,0,11.12,0,Programmation;Analyse des systèmes;Gestion financière,Informatique;Intelligence artificielle,Création d'une application de gestion;Création d'une application Python,Technicien,Télétravail;Bureau;Terrain,IGGLIA
13,Baccalauréat D,Informatique;Mathématiques;Français,14.25,16.53,0,16.29,16.19,15.62,8.55,0,8.25,14.71,0,11.79,Programmation,Intelligence artificielle;Informatique,Création d'une application Python,Technicien;Comptable,Télétravail;Travail en équipe;Bureau,IGGLIA
14,Baccalauréat S,Informatique;Mathématiques,14.89,18.42,0,12.64,14.28,0,11.36,0,10.9,0,0,9.41,Conception de logiciels;Analyse des systèmes;Programmation,Technologie;Intelligence artificielle;Informatique,Projet de développement web,Ingénieur,Travail en équipe;Télétravail;Bureau,IGGLIA
15,Baccalauréat D,Français;Mathématiques;Économie,14.36,17.78,0,12.23,14.94,11.81,0,8.14,11.24,13.31,12.43,15.97,Conception de logiciels;Programmation;Analyse des systèmes;Comptabilité,Informatique,Création d'une application Python;Création d'une application de gestion;Projet personnel,Ingénieur;Technicien,Travail en équipe,IGGLIA
16,Baccalauréat C,Mathématiques;Physique;Français,16.46,14.67,0,17.82,14.8,8.41,0,0,0,8.59,0,9.19,Conception de logiciels;Python;Analyse des systèmes;Tourisme,Technologie;Informatique,Projet de développement web;Création d'une application de gestion,Ingénieur;Développeur logiciel,Bureau;Télétravail;Travail en équipe,IGGLIA
17,Bac+2,Informatique;Mathématiques,12.78,16.25,10.3,15.56,11.48,14.33,0,0,8.92,9.19,9.14,14.34,Conception de logiciels;Programmation;Python,Technologie;Intelligence artificielle,Projet de développement web;Création d'une application Python,Technicien;Ingénieur,Bureau,IGGLIA
18,Bac+2,Mathématiques;Physique;Informatique;Français,13.39,13.91,0,16.28,17.93,10.57,9.29,11.96,0,14.08,8.7,8.93,Python;Conception de logiciels,Intelligence artificielle;Informatique;Finance,Création d'une application de gestion;Projet de développement web,Ingénieur,Travail en équipe;Télétravail;Entreprise,IGGLIA
19,Baccalauréat D,Physique;Français;Chimie,15.13,14.94,0,15.12,14.93,11.86,0,0,9.52,0,0,8.56,Conception de logiciels;Analyse des systèmes;Accueil,Technologie;Intelligence artificielle,Création d'une application Python;Projet de développement web,Ingénieur;Technicien,Bureau;Télétravail,IGGLIA
20,Baccalauréat C,Mathématiques;Informatique;Physique,16.61,17.68,0,13.14,15.67,0,0,12.21,0,0,13.24,11.76,Conception de logiciels;Analyse des systèmes,Informatique;Intelligence artificielle;Technologie,Création d'une application de gestion;Création d'une application Python,Technicien,Bureau;Télétravail,IGGLIA
21,Baccalauréat S,Mathématiques;Informatique;Français;Physique,13.86,13.45,12.25,16.96,11.38,0,0,15.3,11.69,10.04,14.44,0,Programmation;Python;Analyse des systèmes,Intelligence artificielle;Technologie;Informatique,Création d'une application Python;Projet de développement web,Développeur logiciel,Télétravail;Travail en équipe,IGGLIA
22,Baccalauréat Technique,Français;Informatique;Mathématiques;Histoire-Géographie,19.06,15.69,0,12.17,14.9,0,0,8.78,0,14.31,10.92,15.28,Analyse des systèmes;Python;Traitement des données,Intelligence artificielle;Technologie;Informatique,Projet de développement web;Création d'une application de gestion,Développeur logiciel;Technicien,Télétravail,IGGLIA
23,Baccalauréat S,Physique;Mathématiques;Informatique;Français,15.76,16.66,0,16.13,11.52,0,0,0,8.51,0,0,11.27,Python,Intelligence artificielle;Informatique;Technologie,Projet de développement web,Technicien;Développeur logiciel,Bureau;Travail en équipe;Télétravail,IGGLIA
24,Baccalauréat C,Physique;Mathématiques,15.58,16.56,0,13.94,11.69,0,0,0,0,0,14.29,9.01,Programmation;Python;Conception de logiciels,Intelligence artificielle,Projet de développement web,Développeur logiciel,Bureau,IGGLIA
25,Bac+1,Mathématiques;Informatique,12.88,11.28,0,16.51,16.36,0,12.03,0,14.27,0,0,0,Python,Intelligence artificielle;Informatique,Création d'une application Python;Création d'une application de gestion,Développeur logiciel;Professionnel du tourisme,Télétravail;Travail en équipe;Bureau,IGGLIA
26,Bac+1,Français;Physique;Informatique;Chimie;Biologie,16.58,16.21,13.84,13.28,15.82,0,0,8.68,13.96,9.04,15.65,0,Python;Programmation;Conception de logiciels,Technologie;Informatique,Projet de développement web;Création d'une application Python,Développeur logiciel,Bureau,IGGLIA
27,Bac+2,Mathématiques;Informatique;Français,19.46,17.67,0,14.34,16.18,13.62,10.72,14.96,0,9.13,0,13.97,Analyse des systèmes,Informatique;Intelligence artificielle,Création d'une application de gestion;Création d'une application Python,Développeur logiciel,Télétravail;Terrain,IGGLIA
28,Baccalauréat S,Français;Physique;Informatique,15.04,13.85,0,15.92,12.05,0,10.41,9.1,10.62,13.98,11.04,0,Conception de logiciels;Python;Programmation,Intelligence artificielle;Business,Création d'une application de gestion;Projet de développement web,Ingénieur;Développeur logiciel,Bureau;Travail en équipe,IGGLIA
29,Bac+3,Français;Mathématiques;Gestion;Droit,14.39,15.47,0,13.31,14.06,0,15.67,0,8.82,9.39,14.07,15.61,Analyse des systèmes;Programmation;Conception de logiciels,Technologie;Intelligence artificielle;Informatique;Business,Projet de développement web;Création d'une application de gestion,Ingénieur,Travail en équipe;Télétravail;Environnement international,IGGLIA
30,Bac+2,Mathématiques;Physique;Français,15.12,16.89,0,16.34,15.36,0,8.49,15.19,13.71,0,9.98,11.52,Programmation;Analyse des systèmes;Conception de logiciels,Intelligence artificielle;Technologie,Création d'une application de gestion,Ingénieur;Technicien,Travail en équipe;Télétravail,IGGLIA
31,Bac+1,Informatique;Français;Mathématiques;Physique,14.81,14.55,0,13.02,15.34,13.62,0,0,0,13.36,0,10.47,Conception de logiciels,Informatique;Technologie,Création d'une application Python,Technicien,Télétravail;Bureau;Travail en équipe,IGGLIA
32,Baccalauréat C,Français;Mathématiques;Technique;Informatique,14.52,15.42,0,17.05,15.76,15.72,0,0,13.43,0,14.16,0,Analyse des systèmes;Python;Conception de logiciels,Intelligence artificielle;Santé,Création d'une application de gestion;Création d'une application Python,Ingénieur;Chercheur,Travail en équipe;Bureau,IGGLIA
33,Bac+1,Français;Informatique,14.27,13.98,9.8,12.36,15.8,8.31,0,0,0,0,0,0,Python;Valorisation du patrimoine,Technologie,Création d'une application Python;Projet de développement web,Développeur logiciel,Télétravail;Travail en équipe;Bureau;Travail individuel,IGGLIA
34,Bac+3,Mathématiques;Physique;Français;Informatique,14.77,15.49,15.8,12.77,17.49,0,11.76,0,0,8.13,0,13.86,Python;Conception de logiciels;Programmation;Gestion commerciale,Intelligence artificielle;Informatique;Technologie,Création d'une application de gestion;Création d'une application Python,Technicien,Bureau;Travail en équipe,IGGLIA
35,Baccalauréat C,Mathématiques;Informatique,17.54,14.4,0,12.75,18.58,9.0,15.12,0,0,15.79,0,0,Conception de logiciels;Python;Programmation;Prise de décision,Technologie,Création d'une application Python,Ingénieur;Technicien,Bureau;Travail en équipe,IGGLIA
36,Baccalauréat Technique,Physique;Français;Informatique;Mathématiques,15.01,15.86,0,15.22,14.01,0,9.01,13.16,15.6,9.23,10.97,8.62,Conception de logiciels,Intelligence artificielle;Informatique;Technologie;Communication,Création d'une application de gestion;Projet de développement web,Ingénieur,Travail en équipe;Bureau;Télétravail,IGGLIA
37,Bac+3,Mathématiques;Français,16.76,13.07,0,16.51,12.38,0,0,0,0,0,0,0,Programmation;Python;Conception de logiciels,Intelligence artificielle;Sciences,Projet de développement web;Création d'une application Python,Développeur logiciel,Télétravail;Travail en équipe;Bureau,IGGLIA
38,Baccalauréat S,Mathématiques;Français;Informatique;Physique;Histoire-Géographie;Anglais,18.78,14.66,0,16.69,10.89,9.32,13.67,15.53,0,0,13.08,0,Conception de logiciels,Technologie,Création d'une application Python,Technicien;Développeur logiciel,Bureau;Télétravail,IGGLIA
39,Bac+1,Informatique;Physique;Français;Mathématiques,15.07,17.91,0,15.45,10.71,11.87,12.85,13.75,0,0,0,10.96,Python;Programmation;Analyse des systèmes,Intelligence artificielle;Informatique;Agriculture,Projet de développement web;Création d'une application de gestion,Ingénieur,Travail en équipe;Bureau;Télétravail,IGGLIA
40,Baccalauréat D,Français;Informatique;Physique;Technique,13.83,13.72,12.78,18.08,11.75,9.07,10.93,8.36,12.49,10.31,11.6,0,Python;Analyse des systèmes;Conception de logiciels,Technologie;Intelligence artificielle,Création d'une application de gestion,Développeur logiciel;Data Scientist,Télétravail;Travail en équipe;Travail individuel,IGGLIA
41,Baccalauréat Technique,Informatique;Physique;Mathématiques;Économie;Gestion,15.34,15.47,0,11.59,11.33,15.19,0,0,0,13.24,0,0,Électronique,Sciences,Projet Arduino;Projet de robotique;Projet personnel,Ingénieur;Data Scientist,Atelier;Travail en équipe,ESIIA
42,Baccalauréat S,Informatique;Mathématiques;Physique,17.86,14.57,0,15.16,0,0,0,0,0,11.87,0,10.39,Architecture des ordinateurs;Automatisation;Techniques de vente,Informatique;Sciences,Montage d'un système électronique;Projet Arduino,Technicien;Ingénieur,Environnement industriel;Atelier,ESIIA
43,Bac+3,Informatique;Physique;Mathématiques;Économie;Technique,13.59,14.61,0,16.06,11.31,0,14.17,12.4,0,15.48,0,0,Architecture des ordinateurs,Technologie;Sciences;Informatique,Projet Arduino,Ingénieur,Travail en équipe;Laboratoire,ESIIA
44,Baccalauréat S,Mathématiques;Informatique;Physique,15.07,16.16,0,17.19,0,0,8.9,11.67,9.49,0,0,0,Programmation,Informatique;Sciences;Technologie;Business,Projet Arduino,Ingénieur,Travail en équipe,ESIIA
45,Bac+1,Informatique;Mathématiques;Physique,14.44,12.09,12.02,18.54,8.94,0,12.92,9.07,13.98,0,12.39,0,Programmation;Électronique;Architecture des ordinateurs,Sciences;Informatique;Technologie,Projet Arduino,Ingénieur;Manager,Laboratoire;Environnement industriel,ESIIA
46,Bac+3,Mathématiques;Physique;Informatique,15.14,12.43,0,16.12,0,0,0,10.76,15.95,0,15.47,11.27,Automatisation,Informatique;Sciences,Projet de robotique,Ingénieur,Atelier;Environnement industriel,ESIIA
47,Bac+2,Mathématiques;Physique,16.22,13.31,0,11.78,0,0,13.28,0,0,0,8.54,0,Électronique;Automatisation,Informatique;Technologie,Projet Arduino,Ingénieur;Technicien,Environnement industriel;Laboratoire;Atelier,ESIIA
48,Bac+1,Physique;Informatique;Technique;Français,15.68,17.35,0,17.56,11.33,11.01,0,0,0,13.66,0,0,Automatisation;Programmation;Électronique,Technologie;Informatique,Montage d'un système électronique;Projet Arduino,Ingénieur,Laboratoire;Travail en équipe;Environnement industriel,ESIIA
49,Baccalauréat Technique,Physique;Mathématiques,16.3,14.31,0,15.2,0,12.84,15.32,0,0,12.27,10.09,0,Automatisation;Électronique,Informatique;Sciences;Technologie,Projet Arduino;Projet de robotique,Technicien,Travail en équipe;Atelier;Laboratoire;Environnement industriel,ESIIA
50,Bac+1,Physique;Informatique;Histoire-Géographie,16.06,12.74,0,15.11,0,0,0,0,14.54,8.05,13.05,9.21,Automatisation,Sciences;Informatique;Technologie;Tourisme,Projet Arduino;Projet de robotique,Technicien;Ingénieur,Travail en équipe;Laboratoire;Environnement industriel,ESIIA
51,Bac+3,Mathématiques;Informatique,13.11,15.13,0,13.85,0,14.62,15.93,0,11.24,11.81,0,0,Automatisation,Informatique;Technologie;Sciences;Santé,Projet Arduino;Projet de robotique,Ingénieur;Technicien,Laboratoire;Travail en équipe,ESIIA
52,Baccalauréat S,Mathématiques;Physique;Informatique,17.22,16.49,13.92,17.84,13.96,8.78,8.61,0,0,0,0,13.07,Automatisation;Électronique,Informatique;Technologie,Projet Arduino;Montage d'un système électronique,Ingénieur,Atelier;Environnement industriel,ESIIA
53,Baccalauréat D,Mathématiques;Informatique,16.09,11.01,12.46,13.54,12.43,0,0,0,11.31,0,0,0,Programmation,Technologie,Montage d'un système électronique;Projet Arduino;Participation à une association,Technicien;Ingénieur,Environnement industriel,ESIIA
54,Bac+3,Informatique;Mathématiques;Physique;Chimie,17.19,17.34,10.68,18.76,0,10.57,0,10.51,0,0,13.56,0,Programmation;Automatisation;Architecture des ordinateurs;Utilisation des outils informatiques,Informatique;Technologie,Projet de robotique,Ingénieur,Atelier;Travail en équipe,ESIIA
55,Bac+1,Physique;Informatique;Anglais,12.21,14.24,12.78,15.9,0,0,8.29,0,0,0,0,0,Programmation,Technologie;Sciences,Montage d'un système électronique;Projet de robotique;Projet scolaire,Ingénieur;Technicien,Travail en équipe;Environnement industriel,ESIIA
56,Baccalauréat D,Physique;Mathématiques,15.92,14.26,0,13.63,0,0,8.78,0,0,8.36,0,10.74,Programmation,Technologie;Sciences;Informatique,Montage d'un système électronique;Projet Arduino,Ingénieur,Travail en équipe;Laboratoire,ESIIA
57,Baccalauréat Technique,Informatique;Physique;Mathématiques,14.62,15.13,14.98,12.59,0,14.9,0,0,0,0,0,14.76,Programmation;Architecture des ordinateurs;Automatisation,Technologie;Sciences;Informatique;Environnement,Projet Arduino,Technicien,Travail en équipe,ESIIA
58,Baccalauréat S,Informatique;Mathématiques,12.26,12.95,8.08,14.49,0,0,0,0,14.72,0,8.25,0,Électronique;Programmation;Conception,Informatique,Projet de robotique;Projet Arduino,Technicien;Ingénieur,Atelier;Travail en équipe;Environnement industriel,ESIIA
59,Baccalauréat C,Physique;Informatique,17.11,15.72,0,15.11,0,0,9.11,9.66,10.81,12.31,13.63,10.14,Électronique;Automatisation;Programmation,Sciences;Technologie,Projet Arduino;Participation à une association,Technicien,Environnement industriel;Travail en équipe;Atelier,ESIIA
60,Baccalauréat Technique,Physique;Informatique,17.31,15.55,0,15.5,0,0,0,0,0,15.75,0,0,Architecture des ordinateurs;Programmation,Sciences,Projet de robotique;Projet Arduino;Projet personnel,Ingénieur;Technicien,Travail en équipe,ESIIA
61,Baccalauréat C,Informatique;Mathématiques,15.75,15.68,8.66,16.91,13.0,0,0,8.73,9.71,12.75,0,8.06,Électronique;Programmation,Technologie;Sciences,Projet Arduino,Ingénieur;Technicien,Atelier;Télétravail,ESIIA
62,Baccalauréat S,Physique;Informatique,14.45,15.56,0,10.97,0,0,15.71,9.12,8.67,0,0,0,Électronique;Architecture des ordinateurs;Programmation;Prise de décision,Technologie;Informatique;Sciences,Montage d'un système électronique,Technicien,Laboratoire,ESIIA
63,Bac+2,Physique;Informatique;Français;Histoire-Géographie,19.19,10.4,8.32,13.91,0,0,0,13.61,12.29,0,10.48,0,Programmation,Sciences;Technologie,Projet de robotique;Projet Arduino;Projet scolaire,Ingénieur;Technicien,Environnement industriel,ESIIA
64,Baccalauréat Technique,Mathématiques;Informatique,14.95,18.07,0,15.08,14.25,15.09,0,14.46,8.51,0,0,11.64,Électronique;Programmation,Informatique;Business,Projet Arduino,Ingénieur,Atelier;Laboratoire,ESIIA
65,Baccalauréat Technique,Mathématiques;Informatique,18.82,13.96,13.76,11.98,12.02,0,14.43,0,0,11.72,14.76,12.42,Architecture des ordinateurs;Organisation,Sciences;Technologie,Projet Arduino;Projet de robotique;Participation à une association,Ingénieur,Laboratoire;Atelier;Travail en équipe,ESIIA
66,Bac+3,Mathématiques;Informatique;Physique,16.48,11.88,14.76,16.51,0,0,0,0,0,12.74,13.3,10.33,Automatisation;Architecture des ordinateurs,Informatique;Sciences,Projet Arduino;Projet personnel,Ingénieur;Entrepreneur,Environnement industriel;Atelier;Terrain,ESIIA
67,Baccalauréat D,Physique;Informatique,15.52,16.21,0,14.59,0,13.69,0,8.39,14.56,15.62,0,0,Programmation;Électronique;Automatisation;Traitement des données,Technologie;Droit,Projet Arduino,Ingénieur;Technicien,Laboratoire,ESIIA
68,Bac+3,Mathématiques;Informatique;Physique;Chimie,13.59,16.71,13.47,12.0,10.24,0,12.95,10.36,12.41,10.24,9.6,0,Programmation;Architecture des ordinateurs;Électronique,Informatique;Sciences;Technologie,Montage d'un système électronique;Projet de robotique;Participation à une association,Ingénieur,Laboratoire;Atelier,ESIIA
69,Baccalauréat D,Mathématiques;Informatique,15.27,15.76,0,15.13,0,14.71,0,12.74,0,0,0,13.6,Programmation;Architecture des ordinateurs;Électronique,Sciences;Informatique;Agriculture,Projet Arduino,Ingénieur,Environnement industriel,ESIIA
70,Baccalauréat D,Physique;Mathématiques,16.52,12.77,0,18.46,0,0,15.54,8.81,9.09,15.59,0,0,Architecture des ordinateurs;Électronique;Programmation;Pharmacologie,Informatique,Projet Arduino;Projet de robotique,Ingénieur;Technicien,Atelier;Environnement industriel;Laboratoire,ESIIA
71,Bac+1,Informatique;Mathématiques;Physique;Anglais,18.15,17.95,0,12.07,13.55,14.3,0,11.51,9.33,15.05,11.0,0,Programmation;Électronique;Automatisation;Élevage,Informatique;Environnement,Projet Arduino,Ingénieur;Technicien,Environnement industriel,ESIIA
72,Baccalauréat Technique,Informatique;Mathématiques;Physique,14.99,11.4,9.52,17.43,0,10.25,8.4,0,0,10.89,10.36,0,Automatisation;Électronique;Architecture des ordinateurs;Art culinaire,Informatique;Technologie;Sciences,Montage d'un système électronique;Projet de robotique,Ingénieur;Technicien;Développeur logiciel,Atelier;Travail en équipe;Travail individuel,ESIIA
73,Bac+1,Mathématiques;Physique;Informatique;Français;Technique,17.65,15.89,8.49,14.67,0,0,0,0,10.39,14.83,12.57,0,Programmation;Électronique;Automatisation;Architecture des ordinateurs,Technologie;Informatique,Projet de robotique,Technicien,Laboratoire;Travail en équipe;Atelier,ESIIA
74,Bac+2,Physique;Informatique;Mathématiques,16.09,14.38,12.7,18.78,0,0,10.29,0,11.29,11.88,0,10.2,Automatisation;Élevage,Sciences;Technologie;Intelligence artificielle,Montage d'un système électronique;Projet Arduino,Technicien;Ingénieur,Laboratoire;Travail en équipe;Environnement industriel,ESIIA
75,Bac+2,Physique;Informatique;Mathématiques,12.52,17.31,0,14.78,14.33,13.68,14.24,0,0,15.0,8.46,8.4,Programmation;Automatisation,Sciences;Informatique,Projet de robotique;Participation à une association,Technicien;Ingénieur,Environnement industriel;Atelier;Laboratoire,ESIIA
76,Bac+2,Physique;Mathématiques,18.63,12.28,9.65,16.22,0,0,0,0,9.39,0,12.87,0,Architecture des ordinateurs;Programmation;Automatisation,Informatique;Technologie,Projet de robotique;Projet Arduino;Projet personnel,Technicien;Ingénieur,Laboratoire;Atelier,ESIIA
77,Bac+1,Physique;Informatique;Mathématiques;Biologie;Chimie,18.44,16.57,0,17.28,0,11.35,8.28,0,0,13.81,12.28,0,Architecture des ordinateurs;Automatisation;Programmation,Sciences;Technologie;Informatique;Communication,Projet de robotique;Projet Arduino,Ingénieur;Technicien,Environnement industriel;Atelier;Travail en équipe,ESIIA
78,Baccalauréat Technique,Physique;Mathématiques;Informatique;Français;Droit,17.59,16.92,8.43,15.74,11.27,0,0,0,13.73,0,0,0,Architecture des ordinateurs,Informatique,Projet de robotique,Ingénieur;Technicien,Travail en équipe;Atelier;Environnement industriel,ESIIA
79,Bac+3,Mathématiques;Informatique,19.71,16.93,8.03,15.42,0,8.82,0,8.52,15.59,0,0,0,Programmation;Automatisation,Informatique;Technologie;Intelligence artificielle,Projet Arduino,Ingénieur,Atelier;Laboratoire;Travail en équipe,ESIIA
80,Baccalauréat C,Physique;Informatique,16.41,10.77,0,10.81,8.99,13.61,13.49,11.37,12.16,0,0,15.19,Électronique;Programmation;Automatisation,Technologie;Sciences,Montage d'un système électronique,Ingénieur;Technicien,Travail en équipe,ESIIA
81,Baccalauréat Technique,Anglais;Informatique,0,0,8.72,16.33,11.76,15.84,11.71,9.4,10.32,0,13.91,14.07,Communication numérique,Technologie;Tourisme;Communication,Projet de communication numérique;Création d'un site web multimédia,Développeur logiciel;Commercial,Travail en équipe;Télétravail,IMTICIA
82,Baccalauréat S,Anglais;Informatique;Français;Mathématiques;Chimie,15.29,0,0,15.38,17.43,19.14,0,0,0,0,0,8.51,Multimédia;Communication numérique;Technologies numériques,Communication;Tourisme;Informatique,Création de contenus numériques,Développeur logiciel;Commercial;Chercheur,Travail en équipe;Télétravail;Bureau;Travail individuel,IMTICIA
83,Bac+2,Français;Anglais,0,14.54,11.55,13.83,14.41,19.24,11.23,12.39,0,0,0,0,Technologies numériques;Communication numérique;Multimédia,Informatique;Tourisme,Projet de communication numérique;Création de contenus numériques,Commercial;Professionnel du tourisme;Comptable,Travail en équipe,IMTICIA
84,Bac+1,Anglais;Français;Informatique,0,0,0,13.6,11.72,16.08,0,10.7,0,13.07,0,15.13,Technologies numériques;Communication numérique,Informatique,Projet de communication numérique;Création de contenus numériques,Commercial,Bureau;Télétravail;Travail en équipe,IMTICIA
85,Baccalauréat C,Anglais;Français;Informatique,0,0,15.71,17.86,12.66,17.57,13.61,0,0,0,0,12.99,Technologies numériques;Multimédia,Technologie,Projet de communication numérique;Création d'un site web multimédia,Commercial;Professionnel du tourisme,Travail en équipe;Télétravail;Bureau,IMTICIA
86,Baccalauréat D,Informatique;Anglais;Français,0,0,8.5,15.62,14.86,15.49,0,0,13.18,12.09,0,0,Technologies numériques;Communication numérique;Multimédia,Communication;Tourisme;Informatique;Finance,Projet de communication numérique,Développeur logiciel;Professionnel du tourisme,Télétravail;Bureau;Travail en équipe,IMTICIA
87,Bac+1,Informatique;Anglais,8.33,10.11,14.77,12.13,15.8,18.26,0,0,0,14.32,0,13.66,Communication numérique;Technologies numériques;Multimédia,Tourisme,Création d'un site web multimédia;Création de contenus numériques,Commercial,Travail en équipe;Bureau,IMTICIA
88,Bac+2,Anglais;Informatique;Français,15.24,0,0,18.82,16.05,17.41,0,15.29,0,14.42,8.35,0,Multimédia,Technologie,Projet de communication numérique;Projet personnel,Commercial,Bureau,IMTICIA
89,Bac+3,Anglais;Informatique;Français;Gestion;Mathématiques,8.43,0,0,14.47,13.3,15.73,13.39,0,0,0,0,0,Communication numérique;Multimédia;Technologies numériques;Rédaction,Informatique;Technologie,Création de contenus numériques;Projet de communication numérique,Professionnel du tourisme;Commercial,Télétravail,IMTICIA
90,Baccalauréat Technique,Anglais;Informatique;Français,0,0,0,16.51,15.82,10.76,0,0,0,13.99,0,11.3,Technologies numériques;Communication numérique;Multimédia;Production agroalimentaire,Technologie;Informatique;Tourisme,Projet de communication numérique,Professionnel du tourisme,Bureau;Télétravail,IMTICIA
91,Bac+1,Français;Informatique;Anglais;Physique;Biologie,11.61,0,12.67,15.03,13.83,11.14,13.92,14.72,13.86,0,0,10.44,Communication numérique;Technologies numériques;Multimédia,Technologie,Projet de communication numérique;Projet scolaire,Commercial,Bureau;Télétravail;Travail en équipe,IMTICIA
92,Baccalauréat S,Anglais;Informatique;Français;Économie;Chimie,0,0,12.02,17.79,17.6,13.31,9.43,0,0,0,0,0,Communication numérique;Technologies numériques,Informatique,Création d'un site web multimédia,Professionnel du tourisme;Commercial,Bureau,IMTICIA
93,Bac+2,Anglais;Français,12.35,13.23,13.23,17.34,16.34,14.69,0,0,0,0,0,9.32,Technologies numériques,Technologie;Finance,Projet de communication numérique,Commercial;Développeur logiciel,Travail en équipe;Bureau,IMTICIA
94,Baccalauréat D,Informatique;Anglais;Français;Chimie;Technique,0,12.58,10.07,15.39,16.13,13.35,0,8.69,15.94,0,14.64,0,Communication numérique;Multimédia;Technologies numériques,Tourisme;Communication,Création de contenus numériques,Développeur logiciel,Télétravail;Travail en équipe;Bureau,IMTICIA
95,Baccalauréat S,Anglais;Informatique;Français;Chimie;Mathématiques,0,0,0,14.8,12.64,14.99,0,12.71,0,0,0,9.07,Communication numérique;Technologies numériques;Marketing,Communication;Informatique;Agriculture,Projet de communication numérique;Projet personnel,Commercial,Travail en équipe;Bureau;Environnement international,IMTICIA
96,Bac+1,Anglais;Français;Informatique,9.63,0,0,13.59,17.35,16.95,9.1,0,9.84,0,0,12.07,Technologies numériques;Communication numérique;Production agroalimentaire,Informatique,Projet de communication numérique;Création de contenus numériques;Participation à une association,Professionnel du tourisme;Agronome,Travail en équipe;Télétravail;Bureau,IMTICIA
97,Baccalauréat S,Informatique;Français,0,0,0,14.7,16.21,16.72,13.24,0,10.21,13.36,9.6,13.63,Technologies numériques;Valorisation du patrimoine,Communication;Technologie;Tourisme;Environnement,Création de contenus numériques;Création d'un site web multimédia,Commercial;Développeur logiciel,Travail en équipe;Télétravail;Bureau,IMTICIA
